customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,is_female,"has_churned
",has_phone,has_internet,has_phone_and_internet,partner_dependents,start_date,avg_monthly_charge,contract_type,phone_type,internet_type
0019-GFNTW,Female,0,No,No,0,1,2,Bank transfer (automatic),45.05,2560.1,No,56.82796892,TRUE,FALSE,FALSE,TRUE,FALSE,0,2016-10-31,$45.05,2 Year,No Phone Service,DSL
0020-INWCK,Female,0,Yes,Yes,2,2,2,Credit card (automatic),95.75,6849.4,No,71.53420366,TRUE,FALSE,TRUE,TRUE,TRUE,3,2015-08-11,$95.75,2 Year,Two or More Lines,Fiber Optic
0020-JDNXP,Female,0,Yes,Yes,0,1,1,Mailed check,61.25,1993.2,No,32.54204082,TRUE,FALSE,FALSE,TRUE,FALSE,3,2018-11-09,$61.25,1 Year,No Phone Service,DSL
0021-IKXGC,Female,1,No,No,2,2,0,Electronic check,72.1,72.1,No,1,TRUE,FALSE,TRUE,TRUE,TRUE,0,2021-06-25,$72.10,Month-to-Month,Two or More Lines,Fiber Optic
0022-TCJCI,Male,1,No,No,1,1,1,Credit card (automatic),62.7,2791.5,Yes,44.5215311,FALSE,TRUE,TRUE,TRUE,TRUE,0,2017-11-09,$62.70,1 Year,One Line,DSL
0023-HGHWL,Male,1,No,No,0,1,0,Electronic check,25.1,25.1,Yes,1,FALSE,TRUE,FALSE,TRUE,FALSE,0,2021-06-25,$25.10,Month-to-Month,No Phone Service,DSL
0023-UYUPN,Female,1,Yes,No,2,0,1,Electronic check,25.2,1306.3,No,51.83730159,TRUE,FALSE,TRUE,FALSE,FALSE,1,2017-04-01,$25.20,1 Year,Two or More Lines,No Internet Service
0023-XUOPT,Female,0,Yes,No,2,2,0,Electronic check,94.1,1215.6,Yes,12.91817216,TRUE,TRUE,TRUE,TRUE,TRUE,1,2020-06-28,$94.10,Month-to-Month,Two or More Lines,Fiber Optic
0027-KWYKW,Female,0,Yes,Yes,2,2,0,Electronic check,83.75,1849.95,No,22.08895522,TRUE,FALSE,TRUE,TRUE,TRUE,3,2019-09-23,$83.75,Month-to-Month,Two or More Lines,Fiber Optic
0030-FNXPP,Female,0,No,No,1,0,0,Mailed check,19.85,57.2,No,2.881612091,TRUE,FALSE,TRUE,FALSE,FALSE,0,2021-04-29,$19.85,Month-to-Month,One Line,No Internet Service
0031-PVLZI,Female,0,Yes,Yes,1,0,0,Mailed check,20.35,76.35,Yes,3.751842752,TRUE,TRUE,TRUE,FALSE,FALSE,3,2021-04-02,$20.35,Month-to-Month,One Line,No Internet Service
0032-PGELS,Female,0,Yes,Yes,0,1,0,Bank transfer (automatic),30.5,30.5,Yes,1,TRUE,TRUE,FALSE,TRUE,FALSE,3,2021-06-25,$30.50,Month-to-Month,No Phone Service,DSL
0036-IHMOT,Female,0,Yes,Yes,1,2,1,Bank transfer (automatic),103.7,5656.75,No,54.54918033,TRUE,FALSE,TRUE,TRUE,TRUE,3,2017-01-08,$103.70,1 Year,One Line,Fiber Optic
0040-HALCW,Male,0,Yes,Yes,1,0,2,Credit card (automatic),20.4,1090.6,No,53.46078431,FALSE,FALSE,TRUE,FALSE,FALSE,3,2017-02-10,$20.40,2 Year,One Line,No Internet Service
0042-JVWOJ,Male,0,No,No,1,0,1,Bank transfer (automatic),19.6,471.85,No,24.07397959,FALSE,FALSE,TRUE,FALSE,FALSE,0,2019-07-24,$19.60,1 Year,One Line,No Internet Service
0042-RLHYP,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),19.7,1396.9,No,70.90862944,TRUE,FALSE,TRUE,FALSE,FALSE,3,2015-08-30,$19.70,2 Year,One Line,No Internet Service
0048-LUMLS,Male,0,Yes,Yes,1,2,1,Credit card (automatic),91.2,3247.55,No,35.60910088,FALSE,FALSE,TRUE,TRUE,TRUE,3,2018-08-07,$91.20,1 Year,One Line,Fiber Optic
0048-PIHNL,Female,0,Yes,No,1,0,1,Bank transfer (automatic),20.45,900.9,No,44.05378973,TRUE,FALSE,TRUE,FALSE,FALSE,1,2017-11-24,$20.45,1 Year,One Line,No Internet Service
0052-DCKON,Male,0,Yes,No,2,2,1,Bank transfer (automatic),115.8,7942.15,No,68.58506045,FALSE,FALSE,TRUE,TRUE,TRUE,1,2015-11-08,$115.80,1 Year,Two or More Lines,Fiber Optic
0052-YNYOT,Female,0,No,No,1,0,1,Electronic check,20.55,1343.4,No,65.37226277,TRUE,FALSE,TRUE,FALSE,FALSE,0,2016-02-14,$20.55,1 Year,One Line,No Internet Service
0056-EPFBG,Male,0,Yes,Yes,0,1,2,Credit card (automatic),39.4,825.4,No,20.94923858,FALSE,FALSE,FALSE,TRUE,FALSE,3,2019-10-27,$39.40,2 Year,No Phone Service,DSL
0057-QBUQH,Female,0,No,Yes,2,0,2,Electronic check,25.1,1070.15,No,42.63545817,TRUE,FALSE,TRUE,FALSE,FALSE,2,2018-01-06,$25.10,2 Year,Two or More Lines,No Internet Service
0058-EVZWM,Female,0,Yes,No,2,2,0,Bank transfer (automatic),89.8,4959.6,No,55.22939866,TRUE,FALSE,TRUE,TRUE,TRUE,1,2016-12-19,$89.80,Month-to-Month,Two or More Lines,Fiber Optic
0060-FUALY,Female,0,Yes,No,2,2,0,Electronic check,94.75,5597.65,No,59.07810026,TRUE,FALSE,TRUE,TRUE,TRUE,1,2016-08-24,$94.75,Month-to-Month,Two or More Lines,Fiber Optic
0064-SUDOG,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),20.3,224.5,No,11.0591133,TRUE,FALSE,TRUE,FALSE,FALSE,3,2020-08-23,$20.30,2 Year,One Line,No Internet Service
0064-YIJGF,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),75.75,1929,No,25.46534653,FALSE,FALSE,TRUE,TRUE,TRUE,3,2019-06-12,$75.75,Month-to-Month,Two or More Lines,Fiber Optic
0067-DKWBL,Male,1,No,No,1,1,0,Electronic check,49.25,91.1,Yes,1.849746193,FALSE,TRUE,TRUE,TRUE,TRUE,0,2021-05-30,$49.25,Month-to-Month,One Line,DSL
0068-FIGTF,Female,0,No,No,1,1,1,Mailed check,78.2,2078.95,No,26.58503836,TRUE,FALSE,TRUE,TRUE,TRUE,0,2019-05-09,$78.20,1 Year,One Line,DSL
0071-NDAFP,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.5,630.6,No,24.72941176,FALSE,FALSE,TRUE,FALSE,FALSE,3,2019-07-04,$25.50,2 Year,Two or More Lines,No Internet Service
0074-HDKDG,Male,0,Yes,Yes,1,1,1,Bank transfer (automatic),61.6,1611,No,26.1525974,FALSE,FALSE,TRUE,TRUE,TRUE,3,2019-05-22,$61.60,1 Year,One Line,DSL
0076-LVEPS,Male,0,No,Yes,0,1,0,Mailed check,45,1242.45,No,27.61,FALSE,FALSE,FALSE,TRUE,FALSE,2,2019-04-08,$45.00,Month-to-Month,No Phone Service,DSL
0078-XZMHT,Male,0,Yes,No,2,1,2,Bank transfer (automatic),85.15,6316.2,No,74.17733412,FALSE,FALSE,TRUE,TRUE,TRUE,1,2015-05-22,$85.15,2 Year,Two or More Lines,DSL
0080-EMYVY,Female,0,No,No,1,1,1,Credit card (automatic),51.45,727.85,No,14.14674441,TRUE,FALSE,TRUE,TRUE,TRUE,0,2020-05-21,$51.45,1 Year,One Line,DSL
0080-OROZO,Female,0,No,No,1,2,1,Electronic check,99.25,3532,No,35.58690176,TRUE,FALSE,TRUE,TRUE,TRUE,0,2018-08-08,$99.25,1 Year,One Line,Fiber Optic
0082-LDZUE,Male,0,No,No,1,1,0,Mailed check,44.3,44.3,No,1,FALSE,FALSE,TRUE,TRUE,TRUE,0,2021-06-25,$44.30,Month-to-Month,One Line,DSL
0082-OQIQY,Male,0,No,No,1,2,0,Electronic check,94.2,2607.6,No,27.68152866,FALSE,FALSE,TRUE,TRUE,TRUE,0,2019-04-06,$94.20,Month-to-Month,One Line,Fiber Optic
0083-PIVIK,Male,0,No,No,2,1,1,Electronic check,81.25,5567.55,No,68.52369231,FALSE,FALSE,TRUE,TRUE,TRUE,0,2015-11-10,$81.25,1 Year,Two or More Lines,DSL
0089-IIQKO,Female,0,Yes,Yes,2,2,0,Credit card (automatic),99.95,3767.4,No,37.69284642,TRUE,FALSE,TRUE,TRUE,TRUE,3,2018-06-05,$99.95,Month-to-Month,Two or More Lines,Fiber Optic
0093-EXYQL,Female,1,No,No,1,2,0,Electronic check,91.55,3673.6,No,40.12670672,TRUE,FALSE,TRUE,TRUE,TRUE,0,2018-03-23,$91.55,Month-to-Month,One Line,Fiber Optic
0093-XWZFY,Male,0,No,No,2,2,0,Credit card (automatic),104.5,4036.85,Yes,38.63014354,FALSE,TRUE,TRUE,TRUE,TRUE,0,2018-05-07,$104.50,Month-to-Month,Two or More Lines,Fiber Optic
0094-OIFMO,Female,1,No,No,1,2,0,Electronic check,95,1120.3,Yes,11.79263158,TRUE,TRUE,TRUE,TRUE,TRUE,0,2020-08-01,$95.00,Month-to-Month,One Line,Fiber Optic
0096-BXERS,Female,0,Yes,No,2,1,0,Electronic check,50.35,314.55,No,6.247269116,TRUE,FALSE,TRUE,TRUE,TRUE,1,2021-01-16,$50.35,Month-to-Month,Two or More Lines,DSL
0096-FCPUF,Male,0,No,No,2,1,0,Mailed check,64.5,1888.45,No,29.27829457,FALSE,FALSE,TRUE,TRUE,TRUE,0,2019-02-16,$64.50,Month-to-Month,Two or More Lines,DSL
0098-BOWSO,Male,0,No,No,1,0,0,Electronic check,19.4,529.8,No,27.30927835,FALSE,FALSE,TRUE,FALSE,FALSE,0,2019-04-17,$19.40,Month-to-Month,One Line,No Internet Service
0100-DUVFC,Male,1,Yes,No,2,2,1,Electronic check,104.8,7308.95,No,69.74188931,FALSE,FALSE,TRUE,TRUE,TRUE,1,2015-10-04,$104.80,1 Year,Two or More Lines,Fiber Optic
0103-CSITQ,Female,0,Yes,No,2,2,1,Bank transfer (automatic),109.4,6252.7,No,57.15447898,TRUE,FALSE,TRUE,TRUE,TRUE,1,2016-10-21,$109.40,1 Year,Two or More Lines,Fiber Optic
0104-PPXDV,Male,0,Yes,No,1,1,1,Credit card (automatic),50.3,2878.55,No,57.22763419,FALSE,FALSE,TRUE,TRUE,TRUE,1,2016-10-19,$50.30,1 Year,One Line,DSL
0106-GHRQR,Male,0,No,No,2,1,0,Bank transfer (automatic),71.4,1212.1,No,16.97619048,FALSE,FALSE,TRUE,TRUE,TRUE,0,2020-02-25,$71.40,Month-to-Month,Two or More Lines,DSL
0106-UGRDO,Female,0,Yes,No,2,2,2,Electronic check,116,8182.85,No,70.54181034,TRUE,FALSE,TRUE,TRUE,TRUE,1,2015-09-10,$116.00,2 Year,Two or More Lines,Fiber Optic
0107-WESLM,Male,0,No,No,1,0,0,Electronic check,19.85,19.85,Yes,1,FALSE,TRUE,TRUE,FALSE,FALSE,0,2021-06-25,$19.85,Month-to-Month,One Line,No Internet Service
0107-YHINA,Male,0,No,Yes,2,2,0,Electronic check,99.75,99.75,Yes,1,FALSE,TRUE,TRUE,TRUE,TRUE,2,2021-06-25,$99.75,Month-to-Month,Two or More Lines,Fiber Optic
0111-KLBQG,Male,1,Yes,Yes,1,2,0,Mailed check,93.95,2861.45,No,30.45715806,FALSE,FALSE,TRUE,TRUE,TRUE,3,2019-01-11,$93.95,Month-to-Month,One Line,Fiber Optic
0112-QAWRZ,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),90.8,1442.2,No,15.88325991,FALSE,FALSE,TRUE,TRUE,TRUE,3,2020-03-29,$90.80,Month-to-Month,Two or More Lines,Fiber Optic
0112-QWPNC,Male,0,Yes,No,2,1,1,Electronic check,84.35,4059.35,Yes,48.1250741,FALSE,TRUE,TRUE,TRUE,TRUE,1,2017-07-23,$84.35,1 Year,Two or More Lines,DSL
0114-IGABW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),58.25,4145.9,No,71.17424893,TRUE,FALSE,FALSE,TRUE,FALSE,1,2015-08-22,$58.25,2 Year,No Phone Service,DSL
0114-PEGZZ,Female,0,No,No,2,2,0,Electronic check,107.55,3645.5,No,33.89586239,TRUE,FALSE,TRUE,TRUE,TRUE,0,2018-09-29,$107.55,Month-to-Month,Two or More Lines,Fiber Optic
0114-RSRRW,Female,0,Yes,No,1,0,0,Bank transfer (automatic),19.95,187.75,No,9.411027569,TRUE,FALSE,TRUE,FALSE,FALSE,1,2020-10-12,$19.95,Month-to-Month,One Line,No Internet Service
0115-TFERT,Male,0,Yes,No,2,2,0,Electronic check,111.2,2317.1,Yes,20.83723022,FALSE,TRUE,TRUE,TRUE,TRUE,1,2019-10-31,$111.20,Month-to-Month,Two or More Lines,Fiber Optic
0117-LFRMW,Male,0,Yes,Yes,0,1,0,Bank transfer (automatic),40.2,1448.8,Yes,36.039801,FALSE,TRUE,FALSE,TRUE,FALSE,3,2018-07-25,$40.20,Month-to-Month,No Phone Service,DSL
0118-JPNOY,Female,1,No,No,1,2,0,Credit card (automatic),85.8,2193.65,No,25.56701632,TRUE,FALSE,TRUE,TRUE,TRUE,0,2019-06-09,$85.80,Month-to-Month,One Line,Fiber Optic
0121-SNYRK,Male,0,No,No,0,1,1,Mailed check,35.4,1748.9,No,49.4039548,FALSE,FALSE,FALSE,TRUE,FALSE,0,2017-06-14,$35.40,1 Year,No Phone Service,DSL
0122-OAHPZ,Female,0,No,No,2,2,0,Electronic check,73.85,511.25,Yes,6.92281652,TRUE,TRUE,TRUE,TRUE,TRUE,0,2020-12-27,$73.85,Month-to-Month,Two or More Lines,Fiber Optic
0123-CRBRT,Female,0,Yes,Yes,2,1,2,Mailed check,88.1,5526.75,No,62.73269012,TRUE,FALSE,TRUE,TRUE,TRUE,3,2016-05-04,$88.10,2 Year,Two or More Lines,DSL
0125-LZQXK,Male,0,No,No,1,2,0,Electronic check,101.35,1553.95,Yes,15.3325111,FALSE,TRUE,TRUE,TRUE,TRUE,0,2020-04-15,$101.35,Month-to-Month,One Line,Fiber Optic
0128-MKWSG,Female,0,No,Yes,0,1,0,Mailed check,45.8,1147,No,25.04366812,TRUE,FALSE,FALSE,TRUE,FALSE,2,2019-06-25,$45.80,Month-to-Month,No Phone Service,DSL
0129-KPTWJ,Male,0,Yes,No,1,2,0,Electronic check,94.65,6747.35,No,71.28737454,FALSE,FALSE,TRUE,TRUE,TRUE,1,2015-08-18,$94.65,Month-to-Month,One Line,Fiber Optic
0129-QMPDR,Male,0,Yes,Yes,1,0,1,Bank transfer (automatic),20.5,865.05,No,42.19756098,FALSE,FALSE,TRUE,FALSE,FALSE,3,2018-01-19,$20.50,1 Year,One Line,No Internet Service
0130-SXOUN,Male,0,No,No,2,2,0,Credit card (automatic),89.4,5976.9,No,66.8557047,FALSE,FALSE,TRUE,TRUE,TRUE,0,2015-12-31,$89.40,Month-to-Month,Two or More Lines,Fiber Optic
0133-BMFZO,Female,0,No,No,1,2,0,Electronic check,86.25,181.65,Yes,2.106086957,TRUE,TRUE,TRUE,TRUE,TRUE,0,2021-05-22,$86.25,Month-to-Month,One Line,Fiber Optic
0134-XWXCE,Female,1,No,No,1,1,1,Bank transfer (automatic),74.85,3268.05,No,43.66132265,TRUE,FALSE,TRUE,TRUE,TRUE,0,2017-12-05,$74.85,1 Year,One Line,DSL
0135-NMXAP,Female,0,No,No,2,2,0,Bank transfer (automatic),89.75,1052.4,Yes,11.72590529,TRUE,TRUE,TRUE,TRUE,TRUE,0,2020-08-03,$89.75,Month-to-Month,Two or More Lines,Fiber Optic
0136-IFMYD,Male,1,Yes,No,2,2,2,Electronic check,109.95,7634.25,No,69.43383356,FALSE,FALSE,TRUE,TRUE,TRUE,1,2015-10-14,$109.95,2 Year,Two or More Lines,Fiber Optic
0137-OCGAB,Female,0,No,No,2,2,0,Mailed check,80.2,80.2,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,2021-06-25,$80.20,Month-to-Month,Two or More Lines,Fiber Optic
0137-UDEUO,Female,0,No,No,1,0,0,Mailed check,19.85,63.75,Yes,3.211586902,TRUE,TRUE,TRUE,FALSE,FALSE,0,2021-04-19,$19.85,Month-to-Month,One Line,No Internet Service
0139-IVFJG,Female,0,Yes,No,1,2,0,Electronic check,90.35,190.5,No,2.108467072,TRUE,FALSE,TRUE,TRUE,TRUE,1,2021-05-22,$90.35,Month-to-Month,One Line,Fiber Optic
0141-YEAYS,Female,1,No,No,2,2,0,Bank transfer (automatic),86.45,2401.05,No,27.77385772,TRUE,FALSE,TRUE,TRUE,TRUE,0,2019-04-03,$86.45,Month-to-Month,Two or More Lines,Fiber Optic
0142-GVYSN,Male,0,No,No,1,0,0,Electronic check,20.3,511.25,No,25.18472906,FALSE,FALSE,TRUE,FALSE,FALSE,0,2019-06-20,$20.30,Month-to-Month,One Line,No Internet Service
0147-ESWWR,Female,1,Yes,No,2,2,0,Electronic check,101.25,3949.15,No,39.00395062,TRUE,FALSE,TRUE,TRUE,TRUE,1,2018-04-26,$101.25,Month-to-Month,Two or More Lines,Fiber Optic
0148-DCDOS,Male,0,No,No,2,2,0,Bank transfer (automatic),94.7,2362.1,Yes,24.94297782,FALSE,TRUE,TRUE,TRUE,TRUE,0,2019-06-28,$94.70,Month-to-Month,Two or More Lines,Fiber Optic
0151-ONTOV,Female,0,No,No,1,2,0,Mailed check,70.9,70.9,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,2021-06-25,$70.90,Month-to-Month,One Line,Fiber Optic
0156-FVPTA,Male,0,Yes,No,1,1,0,Electronic check,54.2,1152.7,Yes,21.26752768,FALSE,TRUE,TRUE,TRUE,TRUE,1,2019-10-18,$54.20,Month-to-Month,One Line,DSL
0164-APGRB,Female,0,No,No,2,2,2,Electronic check,114.9,8496.7,No,73.948651,TRUE,FALSE,TRUE,TRUE,TRUE,0,2015-05-29,$114.90,2 Year,Two or More Lines,Fiber Optic
0164-XAIRP,Female,0,No,No,1,0,2,Bank transfer (automatic),19.55,470.2,No,24.0511509,TRUE,FALSE,TRUE,FALSE,FALSE,0,2019-07-25,$19.55,2 Year,One Line,No Internet Service
0168-XZKBB,Female,0,Yes,No,2,2,0,Electronic check,86.85,1564.4,No,18.01266552,TRUE,FALSE,TRUE,TRUE,TRUE,1,2020-01-25,$86.85,Month-to-Month,Two or More Lines,Fiber Optic
0174-QRVVY,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.35,1847.55,No,72.8816568,FALSE,FALSE,TRUE,FALSE,FALSE,3,2015-07-01,$25.35,2 Year,Two or More Lines,No Internet Service
0177-PXBAT,Male,1,Yes,No,2,2,0,Bank transfer (automatic),109.9,3694.7,No,33.61874431,FALSE,FALSE,TRUE,TRUE,TRUE,1,2018-10-07,$109.90,Month-to-Month,Two or More Lines,Fiber Optic
0178-CIIKR,Female,0,No,No,1,0,0,Mailed check,19.95,58,No,2.90726817,TRUE,FALSE,TRUE,FALSE,FALSE,0,2021-04-28,$19.95,Month-to-Month,One Line,No Internet Service
0178-SZBHO,Male,0,Yes,Yes,2,2,0,Electronic check,87.2,4017.45,No,46.07167431,FALSE,FALSE,TRUE,TRUE,TRUE,3,2017-09-23,$87.20,Month-to-Month,Two or More Lines,Fiber Optic
0181-RITDD,Male,0,Yes,Yes,1,2,2,Mailed check,108.15,6825.65,No,63.11280629,FALSE,FALSE,TRUE,TRUE,TRUE,3,2016-04-23,$108.15,2 Year,One Line,Fiber Optic
0186-CAERR,Male,0,No,No,2,2,1,Bank transfer (automatic),116.3,8309.55,No,71.44926913,FALSE,FALSE,TRUE,TRUE,TRUE,0,2015-08-13,$116.30,1 Year,Two or More Lines,Fiber Optic
0187-QSXOE,Male,1,Yes,No,1,2,0,Electronic check,89,605.45,No,6.802808989,FALSE,FALSE,TRUE,TRUE,TRUE,1,2020-12-31,$89.00,Month-to-Month,One Line,Fiber Optic
0187-WZNAB,Female,0,Yes,Yes,1,2,0,Mailed check,74.4,1972.35,No,26.51008065,TRUE,FALSE,TRUE,TRUE,TRUE,3,2019-05-11,$74.40,Month-to-Month,One Line,Fiber Optic
0188-GWFLE,Male,0,No,No,1,0,0,Mailed check,20.05,33.7,No,1.680798005,FALSE,FALSE,TRUE,FALSE,FALSE,0,2021-06-04,$20.05,Month-to-Month,One Line,No Internet Service
0191-EQUUH,Female,0,No,Yes,0,1,2,Bank transfer (automatic),35.05,844.45,No,24.09272468,TRUE,FALSE,FALSE,TRUE,FALSE,2,2019-07-24,$35.05,2 Year,No Phone Service,DSL
0191-ZHSKZ,Male,1,No,No,1,1,0,Electronic check,74.75,2111.3,No,28.24481605,FALSE,FALSE,TRUE,TRUE,TRUE,0,2019-03-19,$74.75,Month-to-Month,One Line,DSL
0193-ESZXP,Female,1,Yes,No,1,2,1,Credit card (automatic),105.5,6205.5,Yes,58.81990521,TRUE,TRUE,TRUE,TRUE,TRUE,1,2016-08-31,$105.50,1 Year,One Line,Fiber Optic
0195-IESCP,Male,0,Yes,No,2,2,0,Electronic check,85.25,855.3,Yes,10.03284457,FALSE,TRUE,TRUE,TRUE,TRUE,1,2020-09-23,$85.25,Month-to-Month,Two or More Lines,Fiber Optic
0196-JTUQI,Female,0,No,No,2,2,0,Credit card (automatic),75.2,633.85,No,8.428856383,TRUE,FALSE,TRUE,TRUE,TRUE,0,2020-11-11,$75.20,Month-to-Month,Two or More Lines,Fiber Optic
0196-VULGZ,Female,1,Yes,No,2,2,0,Electronic check,84.35,474.9,Yes,5.630112626,TRUE,TRUE,TRUE,TRUE,TRUE,1,2021-02-04,$84.35,Month-to-Month,Two or More Lines,Fiber Optic
0197-PNKNK,Female,0,Yes,Yes,2,2,1,Bank transfer (automatic),84.45,5848.6,No,69.25518058,TRUE,FALSE,TRUE,TRUE,TRUE,3,2015-10-19,$84.45,1 Year,Two or More Lines,Fiber Optic
0201-MIBOL,Female,1,No,No,2,2,2,Bank transfer (automatic),102.4,6471.85,No,63.20166016,TRUE,FALSE,TRUE,TRUE,TRUE,0,2016-04-20,$102.40,2 Year,Two or More Lines,Fiber Optic
0201-OAMXR,Female,0,No,No,2,2,1,Credit card (automatic),115.55,8127.6,Yes,70.33838165,TRUE,TRUE,TRUE,TRUE,TRUE,0,2015-09-16,$115.55,1 Year,Two or More Lines,Fiber Optic
0203-HHYIJ,Male,0,No,No,2,0,1,Bank transfer (automatic),25.3,676.35,Yes,26.73320158,FALSE,TRUE,TRUE,FALSE,FALSE,0,2019-05-04,$25.30,1 Year,Two or More Lines,No Internet Service
0206-OYVOC,Female,0,Yes,Yes,1,0,2,Mailed check,19.25,864.2,No,44.89350649,TRUE,FALSE,TRUE,FALSE,FALSE,3,2017-10-29,$19.25,2 Year,One Line,No Internet Service
0206-TBWLC,Female,0,Yes,No,2,2,1,Mailed check,114.65,6049.5,No,52.76493676,TRUE,FALSE,TRUE,TRUE,TRUE,1,2017-03-04,$114.65,1 Year,Two or More Lines,Fiber Optic
0207-MDKNV,Female,0,No,No,1,2,0,Electronic check,105.1,1582.75,Yes,15.05946717,TRUE,TRUE,TRUE,TRUE,TRUE,0,2020-04-23,$105.10,Month-to-Month,One Line,Fiber Optic
0208-BPQEJ,Female,0,Yes,Yes,1,0,0,Bank transfer (automatic),19.4,198.1,No,10.21134021,TRUE,FALSE,TRUE,FALSE,FALSE,3,2020-09-18,$19.40,Month-to-Month,One Line,No Internet Service
0212-ISBBF,Female,0,No,No,0,1,0,Electronic check,50.35,1098.85,No,21.82423039,TRUE,FALSE,FALSE,TRUE,FALSE,0,2019-10-01,$50.35,Month-to-Month,No Phone Service,DSL
0214-JHPFW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),57.8,4039.3,No,69.88408304,TRUE,FALSE,FALSE,TRUE,FALSE,1,2015-09-30,$57.80,2 Year,No Phone Service,DSL
0215-BQKGS,Male,0,No,No,1,2,0,Credit card (automatic),84.3,2438.6,No,28.92763938,FALSE,FALSE,TRUE,TRUE,TRUE,0,2019-02-27,$84.30,Month-to-Month,One Line,Fiber Optic
0218-QNVAS,Male,0,Yes,Yes,2,2,1,Bank transfer (automatic),100.55,7113.75,No,70.74838389,FALSE,FALSE,TRUE,TRUE,TRUE,3,2015-09-04,$100.55,1 Year,Two or More Lines,Fiber Optic
0219-QAERP,Male,0,Yes,No,1,0,1,Credit card (automatic),19.8,576.65,No,29.12373737,FALSE,FALSE,TRUE,FALSE,FALSE,1,2019-02-21,$19.80,1 Year,One Line,No Internet Service
